,original_text,ground_truth_output
28,"What department in the U.S. spearheaded the efforts against Islamism?>>>>U.S. Defense Secretary Robert Gates called for establishing something similar to the defunct U.S. Information Agency, which was charged with undermining the communist ideology during the Cold War.",1.0
29,"What did Aristotle refer to forced motion as?>>>>He distinguished between the innate tendency of objects to find their ""natural place"" (e.g., for heavy bodies to fall), which led to ""natural motion"", and unnatural or forced motion, which required continued application of a force.",0.0
30,Who handled the play-by-play for the Denver radio stations?>>>>The flagship stations of each station in the markets of each team will carry their local play-by-play calls.,1.0
31,"What type of reaction is present in the emergency oxygen generator of an airplane?>>>>Pulling on the masks ""to start the flow of oxygen"" as cabin safety instructions dictate, forces iron filings into the sodium chlorate inside the canister.",1.0
32,"How many pages was the Kalven Report statement?>>>>After continued turmoil, a university committee in 1967 issued what became known as the Kalven Report.",1.0
33,"How is the time needed to obtain the solution to a problem calculated?>>>>Thus the time required to solve a problem (or the space required, or any measure of complexity) is calculated as a function of the size of the instance.",0.0
34,"In the wake of the ABC and Capital Cities merger, who was the president of ABC News and ABC Sports?>>>>Jim Duffy stepped down as ABC Television president for a management position at ABC Communications, a subsidiary that specialized in community service programming, including shows related to literary education.",1.0
35,"Who did Tesla call in the middle of the night?>>>>On one occasion at his laboratory, Tesla worked for a period of 84 hours without sleep or rest.:208 Kenneth Swezey, a journalist whom Tesla had befriended, confirmed that Tesla rarely slept.",0.0
36,"What is the last name of the player who finally recovered the ball Newton lost in the fourth quarter?>>>>Meanwhile, Denver's offense was kept out of the end zone for three plays, but a holding penalty on cornerback Josh Norman gave the Broncos a new set of downs.",1.0
37,"How is income inequality generally viewed by workers?>>>>""Markets, by themselves, even when they are stable, often lead to high levels of inequality, outcomes that are widely viewed as unfair.",0.0
38,What can be achieved without building high or getting rid of common areas?>>>>They can still be found in areas such as South Heaton in Newcastle but once dominated the streetscape on both sides of the Tyne.,1.0
39,"What Newcastle radio station is based at the Great North Children's Hospital?>>>>Newcastle Student Radio is run by students from both of the city's universities, broadcasting from Newcastle University's student's union building during term time.",1.0
40,"What kind of amino acids are overrepresented in epitope regions?>>>>Early techniques relied mainly on the observation that hydrophilic amino acids are overrepresented in epitope regions than hydrophobic amino acids; however, more recent developments rely on machine learning techniques using databases of existing known epitopes, usually on well-studied virus proteins, as a training set.",0.0
41,"When did the undergraduate program become coeducational?>>>>Following the American Civil War, President Charles W. Eliot's long tenure (1869–1909) transformed the college and affiliated professional schools into a modern research university; Harvard was a founding member of the Association of American Universities in 1900.",1.0
42,"How was it determined how many from each camp would be appointed?>>>>After debates, it was passed by Parliament, the coalition would hold until the end of the current Parliament or if either of the parties withdraws from the deal before then.",1.0
43,"Who scored the Panthers first touchdown?>>>>Newton completed 4 of 4 passes for 51 yards and rushed twice for 25 yards, while Jonathan Stewart finished the drive with a 1-yard touchdown run, cutting the score to 10–7 with 11:28 left in the second quarter.",0.0
44,"What was the name of the story from the third Torchwood series?>>>>A third series was broadcast from 6 to 10 July 2009, and consisted of a single five-part story called Children of Earth which was set largely in London.",0.0
45,What is PPP?>>>>There is also a growing number of new forms of procurement that involve relationship contracting where the emphasis is on a co-operative relationship between the principal and contractor and other stakeholders within a construction project.,1.0
46,How many homes did the Alta Vista Tract have five years after Billings & Meyering acquired it?>>>>A mere half decade later the tract had 267 homes.,0.0
47,"What typeface are the letters in the iconic ABC logo reminiscent of?>>>>In 1962, graphic designer Paul Rand redesigned the ABC logo into its best-known (and current) form, with the lowercase letters ""abc"" enclosed in a single black circle.",1.0
48,"What is the name of the United Kingdom operation for BSkyB?>>>>The United Kingdom operations also changed the company name from British Sky Broadcasting Limited to Sky UK Limited, still trading as Sky.",0.0
49,"Who challenged the plague theory first?>>>>The plague theory was first significantly challenged by the work of British bacteriologist J. F. D. Shrewsbury in 1970, who noted that the reported rates of mortality in rural areas during the 14th-century pandemic were inconsistent with the modern bubonic plague, leading him to conclude that contemporary accounts were exaggerations.",0.0
50,"What was the attack on the British weakness?>>>>Scouts had reported the weakness of the British supply chain, so he ordered an attack against the forts Shirley had erected at the Oneida Carry.",1.0
51,What parts of a conventional reciprocating steam engine could be replaced by a pistonless rotary engine?>>>>The major problem is the difficulty of sealing the rotors to make them steam-tight in the face of wear and thermal expansion; the resulting leakage made them very inefficient.,1.0
52,"Name two series that have been reboots rather than plot continuations.>>>>This is similar to the 1988 continuation of Mission Impossible, but differs from most other series relaunches which have either been reboots (for example, Battlestar Galactica and Bionic Woman[citation needed]) or set in the same universe as the original but in a different time period and with different characters (for example, Star Trek:",0.0
53,"What resolution were the Eyevision cameras changed to?>>>>(An earlier version of EyeVision was last used in Super Bowl XXXV; for Super Bowl 50, the cameras were upgraded to 5K resolution.)",0.0
54,"Peroxides, nitrates and dichromates are examples of what type of compounds?>>>>Combustion hazards also apply to compounds of oxygen with a high oxidative potential, such as peroxides, chlorates, nitrates, perchlorates, and dichromates because they can donate oxygen to a fire.",0.0
55,What was a non-religious reason for the massacre?>>>>The Catholic Church in France and many of its members opposed the Huguenots.,1.0
56,"What rate of unionization do Scandinavian nations have?>>>>He points out that nations with high rates of unionization, particularly in Scandinavia, have very low levels of inequality, and concludes ""the historical pattern is clear; the cross-national pattern is clear: high inequality goes hand-in-hand with weak labor movements and vice-versa.""",0.0
57,"In the article's title, what did the machine hope to end?>>>>However, his religious views remain uncertain due to other statements that he made.",1.0
58,"What is the typical annual cost for an Irish private school?>>>>There is, however, a limited element of state assessment of private schools, because of the requirement that the state ensure that children receive a certain minimum education; Irish private schools must still work towards the Junior Certificate and the Leaving Certificate, for example.",1.0
59,"Besides viniculture, what's a dominant economic sector of the Middle Rhine?>>>>With its outstanding architectural monuments, the slopes full of vines, settlements crowded on the narrow river banks and scores of castles lined up along the top of the steep slopes, the Middle Rhine Valley can be considered the epitome of the Rhine romanticism.",1.0
60,"When did Tesla get his US citizenship?>>>>In the same year, he patented the Tesla coil.",1.0
61,What made Luther even more short tempered than usual?>>>>His poor physical health made him short-tempered and even harsher in his writings and comments.,0.0
62,"Where were non-condensing direct-drive locomotives notably used for fast passenger trains?>>>>Some non-condensing direct-drive locomotives did meet with some success for long haul freight operations in Sweden and for express passenger work in Britain, but were not repeated.",0.0
63,"What are some existing facilities?>>>>This lessens the likelihood of damage to the existing electrical, water, sewage, phone, and cable facilities, which could cause outages and potentially hazardous situations.",0.0
64,"Of what mathematical nature is the Basel problem?>>>>Another example of the richness of the zeta function and a glimpse of modern algebraic number theory is the following identity (Basel problem), due to Euler,",0.0
65,"What did the General Conference on Weights and Measures name after Tesla in 1960?>>>>His patents earned him a considerable amount of money, much of which was used to finance his own projects with varying degrees of success.:121,154",1.0
66,"What is the state average growth rate?>>>>Despite a reputation for high growth rates, southern California's rate grew less than the state average of 10.0% in the 2000s as California's growth became concentrated in the northern part of the state due to a stronger, tech-oriented economy in the Bay Area and an emerging Greater Sacramento region.",0.0
67,What can be achieved without building high or getting rid of common areas?>>>>A new development in the Ouseburn valley has recreated them; Architects Cany Ash and Robert Sakula were attracted by the possibilities of high density without building high and getting rid of common areas.,0.0
68,"What is another name for a coal supply bin?>>>>When coal is used, a chain or screw stoking mechanism and its drive engine or motor may be included to move the fuel from a supply bin (bunker) to the firebox.",0.0
69,"How was this possible>>>>It was the first network to make the hosts responsible for reliable delivery of data, rather than the network itself, using unreliable datagrams and associated end-to-end protocol mechanisms.",0.0
70,"After cancelling the show, what did the BBC tell the public?>>>>it was effectively, if not formally, cancelled with the decision not to commission a planned 27th series of the show for transmission in 1990, the BBC repeatedly affirmed that the series would return.",0.0
71,"What is the largest ABC station operator in terms of market reach?>>>>The Sinclair Broadcast Group is the largest operator of ABC stations by numerical total, owning or providing services to 28 ABC affiliates and two additional subchannel-only affiliates; Sinclair owns the largest ABC subchannel affiliate by market size, WABM-DT2/WDBB-DT2 in the Birmingham market, which serve as repeaters of WBMA-LD (the largest low-power ""Big Four"" affiliate by market size, which itself is also simulcast on a subchannel of former WBMA satellite WGWW, owned by Sinclair partner company Howard Stirk Holdings).",1.0
72,The outside of the CM was covered in what kind of material?>>>>It was the only component of the Apollo spacecraft to survive without major configuration changes as the program evolved from the early Apollo study designs.,1.0
73,"When did the General Sejm make Warsaw it's permanent seat?>>>>In 1529, Warsaw for the first time became the seat of the General Sejm, permanent from 1569.",0.0
74,"What does the word Rheinrinne translate to?>>>>But then, at the so-called Rheinbrech, the Rhine water abruptly falls into the depths because of the greater density of cold water.",1.0
75,"Why was ABC forced to sell its interests in international networks in the 70s?>>>>As a result, ABC was forced to sell all of its interests in international networks, mainly in Japan and Latin America, in the 1970s.",1.0
76,"What happened to Apollo 13?>>>>The Apollo program succeeded in achieving its goal of manned lunar landing, despite the major setback of a 1967 Apollo 1 cabin fire that killed the entire crew during a prelaunch test.",1.0
77,"What did the engineers fear would be difficult in space due to it never being attempted in Earth orbit?>>>>Many engineers feared that a rendezvous —let alone a docking— neither of which had been attempted even in Earth orbit, would be extremely difficult in lunar orbit.",0.0
78,"What is the position Derek Wolfe plays currently?>>>>Linebacker DeMarcus Ware was selected to play in the Pro Bowl for the ninth time in his career, ranking second on the team with 7½ sacks.",1.0
79,"When did Warsaw start to rebuild?>>>>During the Second World War, Warsaw was razed to the ground by bombing raids and planned destruction.",1.0
80,"Which female anchor from Today joined Hugh Downs on 20/20?>>>>In February 1979, ABC sold its recording division to MCA Inc. for $20 million; the label was discontinued by March 5 of that year, and all of its 300 employees were laid off (the rights to the works of ABC Records and all of MCA's other labels have since been acquired by Universal Music Group).",1.0
81,"What is the most important item for civil disobedience to follow through?>>>>The key point is that the spirit of protest should be maintained all the way, whether it is done by remaining in jail, or by evading it.",0.0
82,"How many meals a day do normal Kenyans eat?>>>>Kenyans generally have three meals in a day – breakfast in the morning (kiamsha kinywa), lunch in the afternoon (chakula cha mchana) and supper in the evening (chakula cha jioni or known simply as ""chajio"").",0.0
83,"What notable private school has an endowment of several hundred million dollars?>>>>As of 2012, quality private schools in the United States charged substantial tuition, close to $40,000 annually for day schools in New York City, and nearly $50,000 for boarding schools.",1.0
84,Which NFL team won Super Bowl 50?>>>>Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season.,1.0
85,"How do ctenophores control buoyancy?>>>>It is uncertain how ctenophores control their buoyancy, but experiments have shown that some species rely on osmotic pressure to adapt to water of different densities.",0.0
86,"How much money was spent on other festivities in the Bay area to help celebrate the coming Super Bowl 50?>>>>In addition, there are $2 million worth of other ancillary events, including a week-long event at the Santa Clara Convention Center, a beer, wine and food festival at Bellomy Field at Santa Clara University, and a pep rally.",0.0
87,"What can hurt a teacher's mental and physical health?>>>>Stress can be caused by organizational change, relationships with students, fellow teachers, and administrative personnel, working environment, expectations to substitute, long hours with a heavy workload, and inspections.",1.0
88,On what date was oxygen liquefied in a stable form?>>>>Only a few drops of the liquid were produced in either case so no meaningful analysis could be conducted.,1.0
89,"What is the name of the trophy given to anyone who plays on the winning team in a Super Bowl?>>>>Like the Lombardi Trophy, the ""50"" will be designed by Tiffany & Co.",1.0
90,"What caused the US public to condemn the occupation of the philippines?>>>>One year later, a war erupted in the Philippines causing business, labor and government leaders in the US to condemn America's occupation in the Philippines as they also denounced them for causing the deaths of many Filipinos.",0.0
91,"What was the average cost for a 30 second commercial during Super Bowl 50?>>>>CBS broadcast Super Bowl 50 in the U.S., and charged an average of $5 million for a 30-second commercial during the game.",0.0
92,"What did the LMP acronym stand for regarding the Block II launch positions?>>>>After an unmanned LM test flight AS-206, a crew would fly the first Block II CSM and LM in a dual mission known as AS-207/208, or AS-278 (each spacecraft would be launched on a separate Saturn IB.)",1.0
93,"What bus company in Newcastle provides the majority of services south of the river?>>>>Stagecoach is the primary operator in the city proper, with cross-city services mainly between both the West and East ends via the city centre with some services extending out to the MetroCentre, Killingworth, Wallsend and Ponteland.",1.0
94,When was Warsaw's first stock exchange established?>>>>Warsaw's first stock exchange was established in 1817 and continued trading until World War II.,0.0
95,"What can cause salaries to go higher than the range?>>>>Teachers in state schools must have at least a bachelor's degree, complete an approved teacher education program, and be licensed.",1.0
96,Who first proved Bertrand's postulate?>>>>Another formula is based on Wilson's theorem and generates the number 2 many times and all other primes exactly once.,1.0
97,"Whose former headquarters was the WSE located in until 2000?>>>>From 1991 until 2000, the stock exchange was, ironically, located in the building previously used as the headquarters of the Polish United Workers' Party (PZPR).",0.0
98,"What does zhèng mean?>>>>Zhèng (Chinese: 正) meaning ""right"", ""just"", or ""true"", would have received the Mongolian adjectival modifier -s, creating ""Jenggis"", which in medieval romanization would be written ""Genghis"".",0.0
99,Who often operates internet pharmacies?>>>>Internet pharmacies (also known as online pharmacies) are also recommended to some patients by their physicians if they are homebound.,1.0
100,"The papers of which famous English Victorian author are collected in the library?>>>>Illuminated manuscripts in the library dating from the 12th to 16th centuries include: the Eadwine Psalter[citation needed], Canterbury; Pocket Book of Hours, Reims; Missal from the Royal Abbey of Saint Denis, Paris; the Simon Marmion Book of Hours, Bruges; 1524 Charter illuminated by Lucas Horenbout, London; the Armagnac manuscript of the trial and rehabilitation of Joan of Arc, Rouen.",1.0
101,"What special audio recording was released for the 40th anniversary?>>>>To celebrate the 40th anniversary in 2003, an audio drama titled Zagreus featuring Paul McGann, Colin Baker, Sylvester McCoy and Peter Davison was released with additional archive recordings of Jon Pertwee.",0.0
102,Where was a lab for Tesla set up?>>>>Based on Tesla's patents and other ideas they agreed to back him financially and handle his patents.,1.0
103,"Which descendant of Genghis Khan sacked Baghdad?>>>>His descendant Hulagu Khan destroyed much of Iran's northern part and sacked Baghdad although his forces were halted by the Mamluks of Egypt, but Hulagu's descendant Ghazan Khan would return to beat the Egyptian Mamluks right out of Levant, Palestine and even Gaza.",0.0
104,"Jenggis is the adjectival form of what word?>>>>It is likely that the 13th century Mongolian pronunciation would have closely matched ""Chinggis"".",1.0
105,"At Millingen aan de Rijn where the Rhine splits, what does it change it's name to?>>>>Three more flows carry significant amounts of water: the Nieuwe Merwede (""New Merwede""), which branches off from the southern branch where it changes from Boven to Beneden Merwede; the Oude Maas (""Old Meuse""), which branches off from the southern branch where it changes from Beneden Merwede into Noord, and Dordtse Kil, which branches off from Oude Maas.",1.0
106,"What is the historic heart of Newcastle?>>>>Established on classical streets built by Richard Grainger, a builder and developer, between 1835 and 1842, some of Newcastle upon Tyne's finest buildings and streets lie within this area of the city centre including Grainger Market, Theatre Royal, Grey Street, Grainger Street and Clayton Street.",1.0
107,"What is defined as the majority vote?>>>>In total there are 352 votes, but for most acts there must be a qualified majority vote, if not consensus.",1.0
108,"Why is it difficult to resolve disagreements about the changes in the Amazon rainforest?>>>>Some scientists argue that the rainforest was reduced to small, isolated refugia separated by open forest and grassland; other scientists argue that the rainforest remained largely intact but extended less far to the north, south, and east than is seen today.",1.0
109,Who leads the Student Government?>>>>Student Government is made up of graduate and undergraduate students elected to represent members from their respective academic unit.,1.0
110,"When did internet pharmacies begin to come into being?>>>>Since about the year 2000, a growing number of Internet pharmacies have been established worldwide.",0.0
111,"What is the smallest number of Bolivians it's estimated live in Newcastle?>>>>According to the same statistics, the average age of people living in Newcastle is 37.8 (the national average being 38.6).",1.0
112,"Why is Jochi's reported alliance with the Muslims historically suspect?>>>>He concludes his story with the clearly apocryphal statement by Jochi: ""Genghis Khan is mad to have massacred so many people and laid waste so many lands.",1.0
113,"Which mobile service were Verizon customers able to watch Super Bowl 50 on their phones?>>>>Due to Verizon Communications exclusivity, streaming on smartphones was only provided to Verizon Wireless customers via the NFL Mobile service.",0.0
114,"Other than Point Conception, what landmark is used in the other definition of southern California?>>>>Another definition for southern California uses Point Conception and the Tehachapi Mountains as the northern boundary.",0.0
115,"When did the second series of Torchwood play?>>>>A second series of Torchwood aired in 2008; for three episodes, the cast was joined by Freema Agyeman reprising her Doctor Who role of Martha Jones.",0.0
116,"Who is the current Governor of Victoria?>>>>Victoria is currently governed by the Labor Party, with Daniel Andrews the current Premier.",1.0
117,"In what borough is there a neighborhood called Huguenot?>>>>A small group of Huguenots also settled on the south shore of Staten Island along the New York Harbor, for which the current neighborhood of Huguenot was named.",0.0
118,What was the first international event broadcast by ABC?>>>>Leonard Goldenson said that ABC's first international activity was broadcasting the coronation of Queen Elizabeth II in June 1953; CBS and NBC were unable to cover the coronation live due to respective issues with technical problems and flight delays.,0.0
119,"How do chloroplasts reproduce?>>>>Chloroplasts, like mitochondria, contain their own DNA, which is thought to be inherited from their ancestor—a photosynthetic cyanobacterium that was engulfed by an early eukaryotic cell.",1.0
120,"What is one work by Olivier Messiaen?>>>>The French composer Olivier Messiaen used prime numbers to create ametrical music through ""natural phenomena"".",1.0
121,What became the foundation of the Reformation?>>>>His railing against the sale of indulgences was based on it.,1.0
122,"What proclamation officially ended limited Huguenot autonomy?>>>>Even before the Edict of Alès (1629), Protestant rule was dead and the ville de sûreté was no more.[citation needed]",0.0
123,"Who translated this version of the scriptures?>>>>Around 1294, a French version of the Scriptures was prepared by the Roman Catholic priest, Guyard de Moulin.",0.0
124,"What does  mnemiopsis eat?>>>>Ctenophores may be abundant during the summer months in some coastal locations, but in other places they are uncommon and difficult to find.",1.0
125,"Who ran for a Carolina touchdown to make the score 10–7?>>>>Newton completed 4 of 4 passes for 51 yards and rushed twice for 25 yards, while Jonathan Stewart finished the drive with a 1-yard touchdown run, cutting the score to 10–7 with 11:28 left in the second quarter.",0.0
126,Why did the European nations and Japan separated themselves from United States during the crisis?>>>>The promise of a negotiated settlement between Israel and Syria was enough to convince Arab oil producers to lift the embargo in March 1974.,1.0
127,"How many horsepower did Tesla's bladeless turbine have?>>>>During 1910–1911 at the Waterside Power Station in New York, several of his bladeless turbine engines were tested at 100–5,000 hp.",1.0
128,"How and when did the first variant of y. pestis enter Europe?>>>>Zoom showed the Y. pestis genotype responsible for the pandemic that spread through the Low Countries from 1350 differed from that found in Britain and France, implying Bergen op Zoom (and possibly other parts of the southern Netherlands) was not directly infected from England or France in 1349 and suggesting a second wave of plague, different from those in Britain and France, may have been carried to the Low Countries from Norway, the Hanseatic cities or another site.",1.0
129,"How many Panthers were designated All-Pro?>>>>Carolina started the season 14–0, not only setting franchise records for the best start and the longest single-season winning streak, but also posting the best start to a season by an NFC team in NFL history, breaking the 13–0 record previously shared with the 2009 New Orleans Saints and the 2011 Green Bay Packers.",1.0
130,"What was Tesla afraid someone was trying to do with his invention?>>>>He said that there was no danger that his invention could be stolen, for he had at no time committed any part of it to paper; the blueprint for the teleforce weapon was all in his mind.",1.0
131,"Who designed the plaster work in the Art Library?>>>>The final part of the museum designed by Scott was the Art Library and what is now the sculpture gallery on the south side of the garden, built 1877–83, the exterior mosaic panels in the parapet were designed by Reuben Townroe who also designed the plaster work in the library, Sir John Taylor designed the book shelves and cases, also this was the first part of the museum to have electric lighting.",0.0
132,"Who was the Most Valuable Player of Super Bowl 50?>>>>Denver linebacker Von Miller was named Super Bowl MVP, recording five solo tackles, 2½ sacks, and two forced fumbles.",0.0
133,"What US war has a large amount of Civil Disobedients?>>>>Steven Barkan writes that if defendants plead not guilty, ""they must decide whether their primary goal will be to win an acquittal and avoid imprisonment or a fine, or to use the proceedings as a forum to inform the jury and the public of the political circumstances surrounding the case and their reasons for breaking the law via civil disobedience.",1.0
134,"Who was ABC Great States sold to in 1974?>>>>Citing limited profitability of its cinemas, ABC Great States, the Central West division of ABC Theatres, was sold to Henry Plitt in 1974.",0.0
135,What did Kublai's government have to balance between?>>>>Kublai's government after 1262 was a compromise between preserving Mongol interests in China and satisfying the demands of his Chinese subjects.,0.0
136,"What leads to lower income inequality?>>>>Eventually, through various possible redistribution mechanisms such as social welfare programs, more developed countries move back to lower levels of inequality.",0.0
137,Who listed the Grainger Market architecture as grade 1 in 1954?>>>>I in 1954 by English Heritage.,0.0
138,"Under which leader did the Huguenots fight in this conflict?>>>>Following the French Crown's revocation of the Edict of Nantes, many Huguenots settled in Ireland in the late 17th and early 18th centuries, encouraged by an act of parliament for Protestants' settling in Ireland.",1.0
139,"What type of treaty was the Lisbon Treaty?>>>>Its substance was very similar to the proposed constitutional treaty, but it was formally an amending treaty, and – though it significantly altered the existing treaties – it did not completely replace them.",0.0
140,"How many granal thylakoids are usually in each granum?>>>>Each granum can contain anywhere from two to a hundred thylakoids, though grana with 10–20 thylakoids are most common.",0.0
141,"What is the concept of the visible and invisible Church?>>>>The United Methodist Church understands itself to be part of the holy catholic (or universal) church and it recognizes the historic ecumenical creeds, the Apostle's Creed and the Nicene Creed; which are used frequently in services of worship.",1.0
142,"What do lobates feed on?>>>>Between the lobes on either side of the mouth, many species of lobates have four auricles, gelatinous projections edged with cilia that produce water currents that help direct microscopic prey toward the mouth.",1.0
143,"What dual titles did Frederick William hold?>>>>Nearly 50,000 Huguenots established themselves in Germany, 20,000 of whom were welcomed in Brandenburg-Prussia, where they were granted special privileges (Edict of Potsdam) and churches in which to worship (such as the Church of St. Peter and St. Paul, Angermünde) by Frederick William, Elector of Brandenburg and Duke of Prussia.",0.0
144,"Which theory suggested people in the tropics were uncivilized?>>>>For instance, American geographer Ellen Churchill Semple argued that even though human beings originated in the tropics they were only able to become fully human in the temperate zone.",1.0
145,"What percentage of British children are educated at GSCE level in fee-paying schools?>>>>The name ""public school"" is based on the fact that the schools were open to pupils from anywhere, and not merely to those from a certain locality, and of any religion or occupation.",1.0
146,"In what year did Luther get his degree?>>>>He was made to wake at four every morning for what has been described as ""a day of rote learning and often wearying spiritual exercises.""",1.0
147,"What was the name for the new radio concept designed by Allen Shaw?>>>>The new concept called ""LOVE Radio"", which featured a limited selection of music genres, was launched on ABC's seven owned-and-operated FM stations in late November 1968; the concept replaced nearly all of the programming provided by these stations; however, several affiliates (such as KXYZ) retained the majority of their content.",0.0
148,When was the Cretaceous-Paleogen extinction occur?>>>>He also suggested that the last common ancestor of modern ctenophores was either cydippid-like or beroid-like.,1.0
149,"Does BSkyB carry any control over the picture quality of a channel?>>>>However, even in this case, BSkyB does not carry any control over the channel's content or carriage issues such as picture quality.",0.0
150,"What was the name of the approved measure that helped cover the cost of major city projects?>>>>The Better Jacksonville Plan, promoted as a blueprint for Jacksonville's future and approved by Jacksonville voters in 2000, authorized a half-penny sales tax.",0.0
151,"What lesson did Johann von Staupitz teach Luther  repentance was?>>>>Johann von Staupitz, his superior, pointed Luther's mind away from continual reflection upon his sins toward the merits of Christ.",1.0
152,"Who reportedly wanted Tesla's company?>>>>"" There have been numerous accounts of women vying for Tesla's affection, even some madly in love with him.[citation needed]",0.0
153,"Granting what status would allow private non-religious schools in the US to receive public funds?>>>>Funding for private schools is generally provided through student tuition, endowments, scholarship/voucher funds, and donations and grants from religious organizations or private individuals.",1.0
154,"Where was American Broadcasting-Paramount Theatres, Inc headquartered after the merger?>>>>The merged company, renamed American Broadcasting-Paramount Theatres, Inc. and headquartered in the Paramount Building at 1501 Broadway in Manhattan, owned six AM and several FM radio stations, five television stations and 644 cinemas in 300 U.S. cities.",0.0
155,Who is given credit for discovering geoglyphs along the Amazon River?>>>>Ondemar Dias is accredited with first discovering the geoglyphs in 1977 and Alceu Ranzi with furthering their discovery after flying over Acre.,0.0
156,"How many counties initially made up the definition of southern California?>>>>In 1999, the Times added a newer county—Imperial—to that list.",1.0
157,"The rocks at the Grand Canyon have been in place since when?>>>>Even older rocks, such as the Acasta gneiss of the Slave craton in northwestern Canada, the oldest known rock in the world have been metamorphosed to the point where their origin is undiscernable without laboratory analysis.",1.0
